,latitude,longitude,altitude,geometry,coordinates,timestamp,version,changeset,type,building,addr:street,addr:housename,building:levels,id,addr:city,addr:postcode,addr:housenumber,d_num,name,amenity,club,shop,source,addr:country,office,administrative,training,tourism,cuisine,leisure,healthcare,opening_hours,outdoor_seating,phone,website,studio,layer,resort,fuel:cng,fuel:diesel,fuel:octane_92,fuel:octane_95,building:flats,highway,ref,oneway,surface,lanes,maxspeed,bridge,service,name:ru,living_street,tracktype,junction,footway,tunnel,fixme,ford,railway,traffic_signals,access,barrier,crossing,smoking,internet_access,entrance,bus,public_transport,waterway,foot,horse,bicycle,motor_vehicle
786,,,,"POLYGON ((61.9175275 57.3400726, 61.9176613 57.3400772, 61.917664 57.3400553, 61.9177746 57.3400592, 61.9177584 57.3401942, 61.917342 57.3401796, 61.9173565 57.340059, 61.9175284 57.340065, 61.9175275 57.3400726))","61.9175275,57.3400726,61.9176613,57.3400772,61.917664,57.3400553,61.9177746,57.3400592,61.9177584,57.3401942,61.917342,57.3401796,61.9173565,57.340059,61.9175284,57.340065,61.9175275,57.3400726",1970-01-01T00:00:01Z,1,1,,house,Чкалова,,,way/503379008,Артёмовский,623785.0,2А,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,,,"POLYGON ((61.9190472 57.3399564, 61.9186291 57.3399393, 61.9186448 57.3398276, 61.9190629 57.3398448, 61.9190472 57.3399564))","61.9190472,57.3399564,61.9186291,57.3399393,61.9186448,57.3398276,61.9190629,57.3398448,61.9190472,57.3399564",1970-01-01T00:00:01Z,1,1,,house,Чкалова,,,way/503379010,Артёмовский,623785.0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,"POLYGON ((61.9174873 57.3398971, 61.9175052 57.3397706, 61.9183993 57.3398074, 61.9183815 57.3399338, 61.9174873 57.3398971))","61.9174873,57.3398971,61.9175052,57.3397706,61.9183993,57.3398074,61.9183815,57.3399338,61.9174873,57.3398971",1970-01-01T00:00:01Z,1,1,,ruins,Чкалова,,,way/503379015,Артёмовский,623785.0,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,,,,"POLYGON ((61.9192603 57.3367473, 61.9193116 57.3363831, 61.919531 57.3363921, 61.9194797 57.3367563, 61.9192603 57.3367473))","61.9192603,57.3367473,61.9193116,57.3363831,61.919531,57.3363921,61.9194797,57.3367563,61.9192603,57.3367473",1970-01-01T00:00:01Z,1,1,,apartments,9 Января,,2.0,way/503379017,Артёмовский,623785.0,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,"POLYGON ((61.9191994 57.3372416, 61.9192507 57.3368774, 61.9194701 57.3368864, 61.9194188 57.3372506, 61.9191994 57.3372416))","61.9191994,57.3372416,61.9192507,57.3368774,61.9194701,57.3368864,61.9194188,57.3372506,61.9191994,57.3372416",1970-01-01T00:00:01Z,1,1,,apartments,9 Января,,2.0,way/503379018,Артёмовский,623785.0,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,,,,"POLYGON ((61.9190664 57.3385985, 61.9191127 57.338269, 61.9193072 57.338277, 61.9192608 57.3386064, 61.9190664 57.3385985))","61.9190664,57.3385985,61.9191127,57.338269,61.9193072,57.338277,61.9192608,57.3386064,61.9190664,57.3385985",1970-01-01T00:00:01Z,1,1,,apartments,9 Января,,2.0,way/503379019,Артёмовский,623785.0,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,"POLYGON ((61.9190155 57.3390219, 61.9190619 57.3386925, 61.9192563 57.3387004, 61.91921 57.3390299, 61.9190155 57.3390219))","61.9190155,57.3390219,61.9190619,57.3386925,61.9192563,57.3387004,61.91921,57.3390299,61.9190155,57.3390219",1970-01-01T00:00:01Z,1,1,,apartments,9 Января,,2.0,way/503379021,Артёмовский,623785.0,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,"POLYGON ((61.9177812 57.3367101, 61.9178395 57.3362967, 61.9180709 57.3363062, 61.9180126 57.3367196, 61.9177812 57.3367101))","61.9177812,57.3367101,61.9178395,57.3362967,61.9180709,57.3363062,61.9180126,57.3367196,61.9177812,57.3367101",1970-01-01T00:00:01Z,1,1,,apartments,Вайнера,,3.0,way/503379022,Артёмовский,623785.0,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,,,,"POLYGON ((61.9159449 57.336661, 61.9160032 57.3362477, 61.9162346 57.3362572, 61.9161763 57.3366705, 61.9159449 57.336661))","61.9159449,57.336661,61.9160032,57.3362477,61.9162346,57.3362572,61.9161763,57.3366705,61.9159449,57.336661",1970-01-01T00:00:01Z,1,1,,apartments,Вайнера,,3.0,way/503379024,Артёмовский,623785.0,1Б,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,,,,"POLYGON ((61.918046 57.3383515, 61.9180635 57.3382275, 61.9186215 57.3382504, 61.918604 57.3383744, 61.918046 57.3383515))","61.918046,57.3383515,61.9180635,57.3382275,61.9186215,57.3382504,61.918604,57.3383744,61.918046,57.3383515",1970-01-01T00:00:01Z,1,1,,apartments,Чайковского,,2.0,way/503379025,Артёмовский,623785.0,2А,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
